symbol,price,date
BTCUSDT,29289.620,2023-04-30 10:20:55
BTCUSDT,29289.620,2023-04-30 10:21:00
BTCUSDT,29289.620,2023-04-30 10:21:04
BTCUSDT,29289.620,2023-04-30 10:21:09
BTCUSDT,29283.290,2023-04-30 10:21:13
BTCUSDT,29281.640,2023-04-30 10:21:18
BTCUSDT,29281.640,2023-04-30 10:21:22
BTCUSDT,29281.640,2023-04-30 10:21:27
BTCUSDT,29282.080,2023-04-30 10:21:31
BTCUSDT,29282.070,2023-04-30 10:21:36
BTCUSDT,29282.070,2023-04-30 10:21:40
BTCUSDT,29282.070,2023-04-30 10:21:45
BTCUSDT,29282.070,2023-04-30 10:21:49
BTCUSDT,29282.080,2023-04-30 10:21:54
BTCUSDT,29282.070,2023-04-30 10:21:58
BTCUSDT,29282.070,2023-04-30 10:22:03
BTCUSDT,29282.080,2023-04-30 10:22:07
BTCUSDT,29282.070,2023-04-30 10:22:11
BTCUSDT,29283.260,2023-04-30 10:22:16
BTCUSDT,29285.690,2023-04-30 10:22:20
BTCUSDT,29285.680,2023-04-30 10:22:25
BTCUSDT,29285.680,2023-04-30 10:22:29
BTCUSDT,29285.680,2023-04-30 10:22:34
BTCUSDT,29285.680,2023-04-30 10:22:38
BTCUSDT,29285.690,2023-04-30 10:22:43
BTCUSDT,29292.940,2023-04-30 10:22:47
BTCUSDT,29292.940,2023-04-30 10:22:52
BTCUSDT,29292.950,2023-04-30 10:22:56
BTCUSDT,29292.940,2023-04-30 10:23:01
BTCUSDT,29292.940,2023-04-30 10:23:05
BTCUSDT,29292.940,2023-04-30 10:23:10
BTCUSDT,29290.690,2023-04-30 10:23:14
BTCUSDT,29290.700,2023-04-30 10:23:19
BTCUSDT,29289.870,2023-04-30 10:23:23
BTCUSDT,29289.870,2023-04-30 10:23:28
BTCUSDT,29289.870,2023-04-30 10:23:32
BTCUSDT,29288.750,2023-04-30 10:23:37
BTCUSDT,29288.760,2023-04-30 10:23:41
BTCUSDT,29288.760,2023-04-30 10:23:46
BTCUSDT,29288.750,2023-04-30 10:23:51
BTCUSDT,29288.890,2023-04-30 10:23:55
BTCUSDT,29288.880,2023-04-30 10:24:00
BTCUSDT,29288.880,2023-04-30 10:24:04
BTCUSDT,29288.880,2023-04-30 10:24:09
BTCUSDT,29288.880,2023-04-30 10:24:13
BTCUSDT,29288.890,2023-04-30 10:24:18
BTCUSDT,29288.880,2023-04-30 10:24:22
BTCUSDT,29288.890,2023-04-30 10:24:27
BTCUSDT,29288.880,2023-04-30 10:24:31
BTCUSDT,29288.890,2023-04-30 10:24:35
BTCUSDT,29288.880,2023-04-30 10:24:40
BTCUSDT,29288.880,2023-04-30 10:24:45
BTCUSDT,29288.890,2023-04-30 10:24:49
BTCUSDT,29288.890,2023-04-30 10:24:54
BTCUSDT,29288.880,2023-04-30 10:24:58
BTCUSDT,29288.880,2023-04-30 10:25:03
BTCUSDT,29288.890,2023-04-30 10:25:07
BTCUSDT,29289.530,2023-04-30 10:25:12
BTCUSDT,29289.530,2023-04-30 10:25:16
BTCUSDT,29289.530,2023-04-30 10:25:21
BTCUSDT,29289.530,2023-04-30 10:25:25
BTCUSDT,29289.520,2023-04-30 10:25:30
BTCUSDT,29289.520,2023-04-30 10:25:34
BTCUSDT,29289.520,2023-04-30 10:25:39
BTCUSDT,29289.530,2023-04-30 10:25:43
BTCUSDT,29289.530,2023-04-30 10:25:48
BTCUSDT,29289.530,2023-04-30 10:25:52
BTCUSDT,29289.530,2023-04-30 10:25:56
BTCUSDT,29289.530,2023-04-30 10:26:01
BTCUSDT,29289.530,2023-04-30 10:26:05
BTCUSDT,29289.520,2023-04-30 10:26:10
BTCUSDT,29289.520,2023-04-30 10:26:14
BTCUSDT,29289.520,2023-04-30 10:26:19
BTCUSDT,29289.520,2023-04-30 10:26:23
BTCUSDT,29289.530,2023-04-30 10:26:28
BTCUSDT,29289.520,2023-04-30 10:26:32
BTCUSDT,29289.520,2023-04-30 10:26:37
BTCUSDT,29292.940,2023-04-30 10:26:41
BTCUSDT,29292.940,2023-04-30 10:26:46
BTCUSDT,29292.940,2023-04-30 10:26:50
BTCUSDT,29293.870,2023-04-30 10:26:55
BTCUSDT,29293.860,2023-04-30 10:26:59
BTCUSDT,29293.870,2023-04-30 10:27:04
BTCUSDT,29293.870,2023-04-30 10:27:08
BTCUSDT,29293.860,2023-04-30 10:27:13
BTCUSDT,29293.870,2023-04-30 10:27:17
BTCUSDT,29293.860,2023-04-30 10:27:21
BTCUSDT,29293.870,2023-04-30 10:27:26
BTCUSDT,29293.870,2023-04-30 10:27:30
BTCUSDT,29293.860,2023-04-30 10:27:35
BTCUSDT,29294.170,2023-04-30 10:27:39
BTCUSDT,29294.160,2023-04-30 10:27:44
BTCUSDT,29294.170,2023-04-30 10:27:48
BTCUSDT,29294.160,2023-04-30 10:27:53
BTCUSDT,29294.170,2023-04-30 10:27:57
BTCUSDT,29294.160,2023-04-30 10:28:02
BTCUSDT,29294.170,2023-04-30 10:28:06
BTCUSDT,29294.170,2023-04-30 10:28:11
BTCUSDT,29294.160,2023-04-30 10:28:15
BTCUSDT,29294.170,2023-04-30 10:28:20
BTCUSDT,29294.160,2023-04-30 10:28:24
BTCUSDT,29294.170,2023-04-30 10:28:29
BTCUSDT,29294.170,2023-04-30 10:28:33
BTCUSDT,29294.160,2023-04-30 10:28:38
BTCUSDT,29294.160,2023-04-30 10:28:42
BTCUSDT,29294.170,2023-04-30 10:28:47
BTCUSDT,29294.170,2023-04-30 10:28:51
BTCUSDT,29294.170,2023-04-30 10:28:56
BTCUSDT,29294.160,2023-04-30 10:29:00
BTCUSDT,29294.170,2023-04-30 10:29:05
BTCUSDT,29294.170,2023-04-30 10:29:09
BTCUSDT,29291.020,2023-04-30 10:29:14
BTCUSDT,29291.020,2023-04-30 10:29:18
BTCUSDT,29291.010,2023-04-30 10:29:23
